-0.4,1.4
0.5,11.4
-0.1,3.4
4,5.6
8.3,12.6
12.2,14.9
16.8,105
15.6,115
15.9,44.2
11.1,26.1
7.1,28.7
0.5,31.4
-10.8,19.6
-11.1,6.3
-7.2,13.1
2.3,20.8
6.6,34.4
13,44.5
14.1,131.4
14.4,141.1
15.4,127.3
11.6,76.2
7.5,19.9
-1.9,13.9
-0.8,10.8
-7.2,13.8
-12.5,19.6
3.5,1.2
6.6,14.3
11.8,76
14.5,74.4
18.3,28.8
17.5,10.4
15.2,8.6
6.2,69.4
-2.8,37.7
-4.2,11.2
-7.5,5.7
-3.6,3.6
-1.1,6.9
3.8,40.5
10,105.2
14.4,102.4
17.2,59.6
15.4,37.2
12.1,27.4
5.3,37
-1.6,12.8
-10.3,17.6
-15.9,28.2
-4.6,6.3
-4.4,34.4
7.2,24
8.6,39.7
15.6,58.9
18.4,11.5
20.3,2.7
12.3,70
5.5,6.7
-8.1,44
-11.2,19.5
-11.1,15.5
-0.7,9
-1.4,24.5
3,29.6
10.7,66.4
15.1,89.2
17.5,22
18.1,28
15.2,6.8
6.8,6.8
-1.3,8.9
-2.3,9.8
-11.3,14
-0.5,0
-3.4,20.6
7.6,36.2
12.7,55
13.7,128.5
19.7,36.1
19.6,25
15.2,18.6
7.8,11.5
-0.5,16
-7.3,28
-6.1,9.5
0.6,1.6
1.1,7.2
5.1,25
9.5,32.6
13.5,61
15.6,72.5
18,38.5
11.7,16.5
7.5,18.5
3.3,6
1.1,2
-9.4,8
-5.2,10
1.6,25.5
5.9,30.5
10.9,14
14.9,29.5
19.2,10.5
17.9,14
12.7,44
7,5
-3.4,3.5
-10.3,9.5
-1.9,6
-11.1,32.8
1.5,28.3
4.9,47.1
12.8,12.5
14.7,53.1
18.7,11.2
20,0
14.7,6.6
6.1,6.3
1.6,14.2
-6.4,4
-4.4,7.4
-2.3,34.5
-12.3,26.3
1.8,29
8.4,56.5
15.3,251.2
19.2,34
14.9,42.4
12,55.5
2.2,13.5
3.2,11.4
-2.3,12.4
-4.7,6.6
-6.4,14.3
-2.1,19.8
5.8,41.6
9.8,66.2
15,34.1
19.6,5.1
19.8,5
12.6,23.5
8.6,20.3
-5.4,33
-1.9,3
-9.1,19.5
-2.5,2
2.9,9.2
7,21
9,87
13.3,66.7
18,64.9
17.2,36.5
12,22.1
5.4,40.5
1.7,11
-3.5,9.5
-8.6,7.5
-1.9,4.5
1.1,27.5
5.6,24.5
10.6,10.2
13.6,272
17.8,12
15.6,80.5
11.5,125.5
7.4,20.5
1.8,12
-4.3,11.5
1.1,23
-4.4,16
-1.5,27.5
7.3,50
11.9,50.5
15.7,100
19.9,2
17.3,13
13.2,24
4.8,22
-3.1,5
-1.7,4.5
-3.5,7
-7,18.5
4.2,5
4.9,50.5
11.4,84.8
15.3,19.7
22,1
16.9,17.5
